surface,x_mm,y_mm
extrados,0.000000,0.000000
extrados,0.106039,0.609105
extrados,0.361075,1.234136
extrados,0.766001,1.896327
extrados,1.321332,2.612470
extrados,2.027121,3.393347
extrados,2.882916,4.242839
extrados,3.887753,5.157818
extrados,5.040190,6.128795
extrados,6.338377,7.141241
extrados,7.780156,8.177374
extrados,9.363160,9.218202
extrados,11.084929,10.245548
extrados,12.943000,11.243808
extrados,14.934974,12.201257
extrados,17.058563,13.110753
extrados,19.311586,13.969788
extrados,21.691946,14.779944
extrados,24.197579,15.545832
extrados,26.826380,16.273733
extrados,29.576131,16.970113
extrados,32.444431,17.640250
extrados,35.428643,18.287152
extrados,38.525858,18.910900
extrados,41.732895,19.508500
extrados,45.046321,20.074223
extrados,48.462490,20.600371
extrados,51.977609,21.078340
extrados,55.587795,21.499796
extrados,59.289145,21.857808
extrados,63.077782,22.147752
extrados,66.949890,22.367885
extrados,70.901729,22.519499
extrados,74.929617,22.606651
extrados,79.029909,22.635533
extrados,83.198949,22.613570
extrados,87.433022,22.548396
extrados,91.728304,22.446855
extrados,96.080826,22.314162
extrados,100.486442,22.153352
extrados,104.940831,21.965061
extrados,109.439502,21.747674
extrados,113.977827,21.497783
extrados,118.551076,21.210890
extrados,123.154473,20.882223
extrados,127.783235,20.507553
extrados,132.432619,20.083884
extrados,137.097945,19.609930
extrados,141.774620,19.086312
extrados,146.458127,18.515466
extrados,151.144019,17.901301
extrados,155.827896,17.248660
extrados,160.505369,16.562695
extrados,165.172043,15.848248
extrados,169.823484,15.109340
extrados,174.455215,14.348840
extrados,179.062710,13.568364
extrados,183.641407,12.768400
extrados,188.186730,11.948632
extrados,192.694115,11.108399
extrados,197.159046,10.247204
extrados,201.577079,9.365195
extrados,205.943868,8.463517
extrados,210.255180,7.544502
extrados,214.506895,6.611650
extrados,218.695003,5.669415
extrados,222.815586,4.722833
extrados,226.864798,3.777052
extrados,230.838845,2.836844
extrados,234.733963,1.906180
extrados,238.546412,0.987932
extrados,242.272467,0.083754
extrados,245.908433,-0.805848
extrados,249.450653,-1.681260
extrados,252.895541,-2.543373
extrados,256.239603,-3.393118
extrados,259.479468,-4.231014
extrados,262.611910,-5.056779
extrados,265.633864,-5.869088
extrados,268.542434,-6.665507
extrados,271.334889,-7.442602
extrados,274.008648,-8.196227
extrados,276.561269,-8.921920
extrados,278.990422,-9.615358
extrados,281.293869,-10.272792
extrados,283.469452,-10.891394
extrados,285.515081,-11.469468
extrados,287.428734,-12.006485
extrados,289.208469,-12.502945
extrados,290.852440,-12.960094
extrados,292.358914,-13.379536
extrados,293.726305,-13.762812
extrados,294.953184,-14.111015
extrados,296.038305,-14.424492
extrados,296.980609,-14.702702
extrados,297.779227,-14.944225
extrados,298.433468,-15.146941
extrados,298.942809,-15.308328
extrados,299.306872,-15.425848
extrados,299.525405,-15.497334
extrados,299.598265,-15.521333
intrados,0.000000,-0.000000
intrados,0.030393,-0.834313
intrados,0.209316,-1.661598
intrados,0.537280,-2.467931
intrados,1.014555,-3.241186
intrados,1.641134,-3.971728
intrados,2.416712,-4.652866
intrados,3.340675,-5.281047
intrados,4.412105,-5.855774
intrados,5.629797,-6.379270
intrados,6.992293,-6.855936
intrados,8.497914,-7.291667
intrados,10.144804,-7.693114
intrados,11.930966,-8.066950
intrados,13.854300,-8.419235
intrados,15.912632,-8.754923
intrados,18.103726,-9.077553
intrados,20.425299,-9.389137
intrados,22.875013,-9.690237
intrados,25.450470,-9.980201
intrados,28.149192,-10.257501
intrados,30.968608,-10.520147
intrados,33.906027,-10.766086
intrados,36.958631,-10.993567
intrados,40.123457,-11.201415
intrados,43.397393,-11.389196
intrados,46.777179,-11.557276
intrados,50.259414,-11.706760
intrados,53.840564,-11.839357
intrados,57.516976,-11.957184
intrados,61.284896,-12.062553
intrados,65.140478,-12.157769
intrados,69.079801,-12.244959
intrados,73.098876,-12.325962
intrados,77.193655,-12.402281
intrados,81.360031,-12.475082
intrados,85.593842,-12.545249
intrados,89.890871,-12.613462
intrados,94.246844,-12.680282
intrados,98.657433,-12.746227
intrados,103.118252,-12.811819
intrados,107.624869,-12.877601
intrados,112.172803,-12.944126
intrados,116.757535,-13.011904
intrados,121.374517,-13.081354
intrados,126.019174,-13.152736
intrados,130.686916,-13.226108
intrados,135.373141,-13.301302
intrados,140.073240,-13.377937
intrados,144.782601,-13.455458
intrados,149.496607,-13.533205
intrados,154.210635,-13.610503
intrados,158.920063,-13.686754
intrados,163.620261,-13.761512
intrados,168.306599,-13.834546
intrados,172.974449,-13.905862
intrados,177.619187,-13.975687
intrados,182.236206,-14.044425
intrados,186.820919,-14.112579
intrados,191.368772,-14.180658
intrados,195.875250,-14.249087
intrados,200.335888,-14.318129
intrados,204.746280,-14.387829
intrados,209.102077,-14.458003
intrados,213.399000,-14.528250
intrados,217.632832,-14.598013
intrados,221.799426,-14.666654
intrados,225.894699,-14.733551
intrados,229.914632,-14.798183
intrados,233.855274,-14.860204
intrados,237.712739,-14.919494
intrados,241.483211,-14.976163
intrados,245.162949,-15.030527
intrados,248.748295,-15.083048
intrados,252.235681,-15.134251
intrados,255.621635,-15.184634
intrados,258.902795,-15.234577
intrados,262.075909,-15.284275
intrados,265.137845,-15.333701
intrados,268.085591,-15.382596
intrados,270.916260,-15.430506
intrados,273.627087,-15.476847
intrados,276.215427,-15.520982
intrados,278.678755,-15.562320
intrados,281.014661,-15.600398
intrados,283.220853,-15.634942
intrados,285.295155,-15.665909
intrados,287.235507,-15.693480
intrados,289.039974,-15.718025
intrados,290.706749,-15.740041
intrados,292.234156,-15.760067
intrados,293.620662,-15.778595
intrados,294.864878,-15.795993
intrados,295.965565,-15.812444
intrados,296.921639,-15.827924
intrados,297.732166,-15.842203
intrados,298.396366,-15.854890
intrados,298.913609,-15.865498
intrados,299.283411,-15.873524
intrados,299.505427,-15.878536
intrados,299.579456,-15.880241
