surface,x_mm,y_mm
extrados,0.000000,0.000000
extrados,0.106036,0.609046
extrados,0.361051,1.233673
extrados,0.765920,1.894785
extrados,1.321144,2.608887
extrados,2.026764,3.386524
extrados,2.882317,4.231412
extrados,3.886836,5.140325
extrados,5.038878,6.103762
extrados,6.336596,7.107248
extrados,7.777837,8.133122
extrados,9.360244,9.162559
extrados,11.081366,10.177566
extrados,12.938750,11.162724
extrados,14.930006,12.106452
extrados,17.052847,13.001683
extrados,19.305093,13.845891
extrados,21.684639,14.640512
extrados,24.189406,15.389882
extrados,26.817268,16.099865
extrados,29.565978,16.776385
extrados,32.433102,17.424074
extrados,35.415964,18.045230
extrados,38.511619,18.639212
extrados,41.716851,19.202356
extrados,45.028196,19.728379
extrados,48.441991,20.209214
extrados,51.954434,20.636134
extrados,55.561654,21.000985
extrados,59.259772,21.297347
extrados,63.044959,21.521461
extrados,66.913462,21.672792
extrados,70.861619,21.754153
extrados,74.885842,21.771383
extrados,78.982590,21.732637
extrados,83.148314,21.647397
extrados,87.379406,21.525346
extrados,91.672145,21.375261
extrados,96.022648,21.204077
extrados,100.426848,21.016240
extrados,104.880476,20.813414
extrados,109.379071,20.594575
extrados,113.918012,20.356445
extrados,118.492552,20.094185
extrados,123.097874,19.802244
extrados,127.729132,19.475212
extrados,132.381505,19.108588
extrados,137.050223,18.699331
extrados,141.730589,18.246149
extrados,146.417984,17.749503
extrados,151.107861,17.211352
extrados,155.795719,16.634695
extrados,160.477086,16.023017
extrados,165.147488,15.379723
extrados,169.802433,14.707658
extrados,174.437394,14.008802
extrados,179.047815,13.284162
extrados,183.629117,12.533890
extrados,188.176717,11.757578
extrados,192.686059,10.954684
extrados,197.152642,10.125005
extrados,201.572043,9.269105
extrados,205.939944,8.388640
extrados,210.252140,7.486499
extrados,214.504542,6.566758
extrados,218.693170,5.634436
extrados,222.814133,4.695102
extrados,226.863611,3.754391
extrados,230.837832,2.817509
extrados,234.733053,1.888804
extrados,238.545549,0.971466
extrados,242.271611,0.067415
extrados,245.907554,-0.822622
extrados,249.449731,-1.698853
extrados,252.894563,-2.562024
extrados,256.238563,-3.412950
extrados,259.478365,-4.252050
extrados,262.610747,-5.078964
extrados,265.632648,-5.892300
extrados,268.541173,-6.689567
extrados,271.333595,-7.467285
extrados,274.007336,-8.221272
extrados,276.559953,-8.947035
extrados,278.989118,-9.640233
extrados,281.292595,-10.297106
extrados,283.468224,-10.914830
extrados,285.513915,-11.491720
extrados,287.427645,-12.027269
extrados,289.207470,-12.522014
extrados,290.851541,-12.977243
extrados,292.358124,-13.394613
extrados,293.725628,-13.775727
extrados,294.952622,-14.121741
extrados,296.037855,-14.433073
extrados,296.980266,-14.709251
extrados,297.778981,-14.948923
extrados,298.433306,-15.150027
extrados,298.942717,-15.310100
extrados,299.306831,-15.426647
extrados,299.525395,-15.497536
extrados,299.598265,-15.521333
intrados,0.000000,-0.000000
intrados,0.030411,-0.833972
intrados,0.209458,-1.658894
intrados,0.537752,-2.458932
intrados,1.015651,-3.220275
intrados,1.643220,-3.931917
intrados,2.420206,-4.586192
intrados,3.346022,-5.179018
intrados,4.419753,-5.709849
intrados,5.640171,-6.181338
intrados,7.005771,-6.598774
intrados,8.514806,-6.969355
intrados,10.165334,-7.301374
intrados,11.955259,-7.603406
intrados,13.882373,-7.883577
intrados,15.944389,-8.148963
intrados,18.138963,-8.405186
intrados,20.463710,-8.656199
intrados,22.916203,-8.904272
intrados,25.493970,-9.150154
intrados,28.194480,-9.393356
intrados,31.015127,-9.632512
intrados,33.953211,-9.865760
intrados,37.005927,-10.091101
intrados,40.170348,-10.306684
intrados,43.443417,-10.510998
intrados,46.821952,-10.702971
intrados,50.302640,-10.881967
intrados,53.882052,-11.047715
intrados,57.556649,-11.200185
intrados,61.322792,-11.339454
intrados,65.176753,-11.465588
intrados,69.114725,-11.578560
intrados,73.132823,-11.678224
intrados,77.227088,-11.764345
intrados,81.393488,-11.836683
intrados,85.627914,-11.895111
intrados,89.926179,-11.939744
intrados,94.284013,-11.971066
intrados,98.697064,-11.990024
intrados,103.160899,-11.998064
intrados,107.671012,-11.997130
intrados,112.222828,-11.989585
intrados,116.811715,-11.978100
intrados,121.432997,-11.965490
intrados,126.081968,-11.954550
intrados,130.753905,-11.947880
intrados,135.444078,-11.947745
intrados,140.147763,-11.955961
intrados,144.860250,-11.973836
intrados,149.576846,-12.002155
intrados,154.292879,-12.041209
intrados,159.003700,-12.090863
intrados,163.704683,-12.150641
intrados,168.391223,-12.219826
intrados,173.058737,-12.297550
intrados,177.702663,-12.382873
intrados,182.318464,-12.474845
intrados,186.901629,-12.572543
intrados,191.447675,-12.675090
intrados,195.952154,-12.781667
intrados,200.410654,-12.891510
intrados,204.818807,-13.003918
intrados,209.172291,-13.118254
intrados,213.466830,-13.233967
intrados,217.698206,-13.350605
intrados,221.862254,-13.467836
intrados,225.954867,-13.585467
intrados,229.972005,-13.703443
intrados,233.909693,-13.821834
intrados,237.764030,-13.940798
intrados,241.531197,-14.060527
intrados,245.207462,-14.181171
intrados,248.789188,-14.302762
intrados,252.272844,-14.425136
intrados,255.655007,-14.547871
intrados,258.932370,-14.670251
intrados,262.101747,-14.791269
intrados,265.160068,-14.909663
intrados,268.104385,-15.023994
intrados,270.931865,-15.132752
intrados,273.639789,-15.234486
intrados,276.225544,-15.327937
intrados,278.686625,-15.412152
intrados,281.020626,-15.486579
intrados,283.225246,-15.551118
intrados,285.298288,-15.606119
intrados,287.237663,-15.652340
intrados,289.041398,-15.690853
intrados,290.707646,-15.722920
intrados,292.234691,-15.749858
intrados,293.620961,-15.772894
intrados,294.865032,-15.793053
intrados,295.965637,-15.811073
intrados,296.921668,-15.827361
intrados,297.732176,-15.842009
intrados,298.396369,-15.854838
intrados,298.913610,-15.865489
intrados,299.283411,-15.873523
intrados,299.505427,-15.878536
intrados,299.579456,-15.880241
