surface,x_mm,y_mm
extrados,0.000000,0.000000
extrados,3.073392,6.059892
extrados,6.583431,8.630813
extrados,10.173950,10.601318
extrados,13.809220,12.246044
extrados,17.474820,13.671629
extrados,21.163026,14.932980
extrados,24.869033,16.062898
extrados,28.589558,17.082912
extrados,32.322201,18.008115
extrados,36.065122,18.849614
extrados,39.816858,19.615901
extrados,43.576209,20.313666
extrados,47.342171,20.948316
extrados,51.113883,21.524309
extrados,54.890600,22.045389
extrados,58.671666,22.514745
extrados,62.456498,22.935133
extrados,66.244573,23.308958
extrados,70.035419,23.638345
extrados,73.828605,23.925183
extrados,77.623739,24.171166
extrados,81.420460,24.377826
extrados,85.218434,24.546552
extrados,89.017352,24.678617
extrados,92.816928,24.775185
extrados,96.616895,24.837334
extrados,100.417003,24.866058
extrados,104.217020,24.862279
extrados,108.016727,24.826860
extrados,111.815919,24.760602
extrados,115.614404,24.664255
extrados,119.412000,24.538525
extrados,123.172475,24.388088
extrados,126.932408,24.217581
extrados,130.691733,24.027580
extrados,134.450387,23.818629
extrados,138.208310,23.591237
extrados,141.965446,23.345883
extrados,145.721741,23.083018
extrados,149.477144,22.803066
extrados,153.231607,22.506423
extrados,156.985083,22.193462
extrados,160.737527,21.864533
extrados,164.488899,21.519963
extrados,168.239157,21.160058
extrados,171.988262,20.785103
extrados,175.736177,20.395363
extrados,179.482865,19.991084
extrados,183.228292,19.572494
extrados,186.972422,19.139800
extrados,190.715223,18.693197
extrados,194.456662,18.232857
extrados,198.196707,17.758939
extrados,201.935326,17.271585
extrados,205.672488,16.770920
extrados,209.408162,16.257055
extrados,213.142318,15.730084
extrados,216.874923,15.190088
extrados,220.605947,14.637131
extrados,224.335359,14.071265
extrados,228.063127,13.492525
extrados,231.789219,12.900934
extrados,235.513601,12.296500
extrados,239.236241,11.679217
extrados,242.957105,11.049068
extrados,246.676157,10.406018
extrados,250.393361,9.750024
extrados,254.108680,9.081025
extrados,257.822076,8.398951
extrados,261.533509,7.703717
extrados,265.242937,6.995226
extrados,268.950319,6.273367
extrados,272.655610,5.538019
extrados,276.358763,4.789046
extrados,280.059732,4.026302
extrados,283.758467,3.249626
extrados,287.454916,2.458848
extrados,291.149026,1.653783
extrados,294.840740,0.834236
extrados,298.530000,-0.000000
intrados,0.000000,0.000000
intrados,4.389858,-5.170949
intrados,8.343069,-6.881148
intrados,12.215800,-8.019150
intrados,16.043780,-8.859595
intrados,19.841430,-9.509118
intrados,23.616474,-10.022628
intrados,27.373717,-10.432925
intrados,31.116442,-10.761539
intrados,34.847049,-11.023563
intrados,38.567378,-11.230102
intrados,42.278892,-11.389650
intrados,45.982791,-11.508897
intrados,49.680079,-11.593249
intrados,53.371617,-11.647164
intrados,57.058150,-11.674386
intrados,60.740334,-11.678106
intrados,64.418752,-11.661077
intrados,68.093927,-11.625707
intrados,71.766331,-11.574118
intrados,75.436395,-11.508201
intrados,79.104511,-11.429649
intrados,82.771040,-11.339994
intrados,86.436316,-11.240627
intrados,90.100648,-11.132818
intrados,93.764322,-11.017734
intrados,97.427605,-10.896450
intrados,101.090747,-10.769961
intrados,104.753980,-10.639191
intrados,108.417523,-10.505000
intrados,112.081581,-10.368190
intrados,115.746346,-10.229514
intrados,119.412000,-10.089673
intrados,123.114775,-9.945508
intrados,126.818092,-9.793814
intrados,130.522017,-9.635169
intrados,134.226613,-9.470116
intrados,137.931940,-9.299165
intrados,141.638054,-9.122795
intrados,145.345009,-8.941455
intrados,149.052856,-8.755571
intrados,152.761643,-8.565538
intrados,156.471417,-8.371730
intrados,160.182223,-8.174497
intrados,163.894101,-7.974165
intrados,167.607093,-7.771040
intrados,171.321238,-7.565407
intrados,175.036573,-7.357532
intrados,178.753135,-7.147660
intrados,182.470958,-6.936019
intrados,186.190078,-6.722818
intrados,189.910527,-6.508249
intrados,193.632338,-6.292486
intrados,197.355543,-6.075687
intrados,201.080174,-5.857995
intrados,204.806262,-5.639534
intrados,208.533838,-5.420416
intrados,212.262932,-5.200734
intrados,215.993577,-4.980569
intrados,219.725803,-4.759986
intrados,223.459641,-4.539036
intrados,227.195123,-4.317755
intrados,230.932281,-4.096165
intrados,234.671149,-3.874274
intrados,238.411759,-3.652077
intrados,242.154145,-3.429556
intrados,245.898343,-3.206677
intrados,249.644389,-2.983395
intrados,253.392320,-2.759652
intrados,257.142174,-2.535376
intrados,260.893991,-2.310482
intrados,264.647813,-2.084874
intrados,268.403681,-1.858440
intrados,272.161640,-1.631059
intrados,275.921737,-1.402596
intrados,279.684018,-1.172904
intrados,283.448533,-0.941823
intrados,287.215334,-0.709182
intrados,290.984474,-0.474797
intrados,294.756010,-0.238472
intrados,298.530000,0.000000
