surface,x_mm,y_mm
extrados,0.000000,0.000000
extrados,3.202149,6.024374
extrados,6.767821,8.536476
extrados,10.400504,10.446013
extrados,14.070447,12.029714
extrados,17.765636,13.395052
extrados,21.479637,14.597377
extrados,25.208447,15.669764
extrados,28.949330,16.633929
extrados,32.700287,17.505094
extrados,36.459785,18.294469
extrados,40.226604,19.010623
extrados,43.999746,19.660312
extrados,47.778374,20.248991
extrados,51.561772,20.781164
extrados,55.349320,21.260610
extrados,59.140473,21.690549
extrados,62.934744,22.073765
extrados,66.731701,22.412686
extrados,70.530950,22.709456
extrados,74.332135,22.965982
extrados,78.134930,23.183973
extrados,81.939034,23.364975
extrados,85.744172,23.510388
extrados,89.550088,23.621495
extrados,93.356544,23.699471
extrados,97.163319,23.745397
extrados,100.970207,23.760277
extrados,104.777015,23.745039
extrados,108.583563,23.700547
extrados,112.389681,23.627608
extrados,116.195210,23.526976
extrados,120.000000,23.399356
extrados,123.773960,23.248733
extrados,127.547471,23.079050
extrados,131.320476,22.890885
extrados,135.092925,22.684785
extrados,138.864766,22.461260
extrados,142.635955,22.220792
extrados,146.406445,21.963832
extrados,150.176194,21.690805
extrados,153.945163,21.402110
extrados,157.713313,21.098120
extrados,161.480607,20.779186
extrados,165.247011,20.445635
extrados,169.012489,20.097774
extrados,172.777011,19.735889
extrados,176.540545,19.360243
extrados,180.303061,18.971085
extrados,184.064529,18.568640
extrados,187.824922,18.153118
extrados,191.584210,17.724711
extrados,195.342368,17.283592
extrados,199.099369,16.829920
extrados,202.855185,16.363835
extrados,206.609792,15.885462
extrados,210.363164,15.394911
extrados,214.115274,14.892276
extrados,217.866096,14.377636
extrados,221.615606,13.851054
extrados,225.363776,13.312580
extrados,229.110581,12.762249
extrados,232.855993,12.200081
extrados,236.599985,11.626084
extrados,240.342530,11.040250
extrados,244.083598,10.442559
extrados,247.823160,9.832977
extrados,251.561187,9.211455
extrados,255.297647,8.577933
extrados,259.032507,7.932337
extrados,262.765736,7.274581
extrados,266.497298,6.604564
extrados,270.227158,5.922174
extrados,273.955278,5.227286
extrados,277.681622,4.519763
extrados,281.406147,3.799453
extrados,285.128814,3.066195
extrados,288.849578,2.319814
extrados,292.568396,1.560122
extrados,296.285219,0.786922
extrados,300.000000,-0.000000
intrados,0.000000,0.000000
intrados,4.297851,-5.286093
intrados,8.232179,-7.083351
intrados,12.099496,-8.301482
intrados,15.929553,-9.217214
intrados,19.734364,-9.938021
intrados,23.520363,-10.519252
intrados,27.291553,-10.993983
intrados,31.050670,-11.383929
intrados,34.799713,-11.704313
intrados,38.540215,-11.966344
intrados,42.273396,-12.178592
intrados,46.000254,-12.347812
intrados,49.721626,-12.479460
intrados,53.438228,-12.578039
intrados,57.150680,-12.647328
intrados,60.859527,-12.690549
intrados,64.565256,-12.710484
intrados,68.268299,-12.709561
intrados,71.969050,-12.689925
intrados,75.667865,-12.653482
intrados,79.365070,-12.601942
intrados,83.060966,-12.536850
intrados,86.755828,-12.459607
intrados,90.449912,-12.371495
intrados,94.143456,-12.273689
intrados,97.836681,-12.167272
intrados,101.529793,-12.053246
intrados,105.222985,-11.932539
intrados,108.916437,-11.806016
intrados,112.610319,-11.674483
intrados,116.304790,-11.538694
intrados,120.000000,-11.399356
intrados,123.726040,-11.253941
intrados,127.452529,-11.099883
intrados,131.179524,-10.937760
intrados,134.907075,-10.768118
intrados,138.635234,-10.591468
intrados,142.364045,-10.408292
intrados,146.093555,-10.219040
intrados,149.823806,-10.024138
intrados,153.554837,-9.823985
intrados,157.286687,-9.618953
intrados,161.019393,-9.409394
intrados,164.752989,-9.195635
intrados,168.487511,-8.977983
intrados,172.222989,-8.756722
intrados,175.959455,-8.532118
intrados,179.696939,-8.304418
intrados,183.435471,-8.073848
intrados,187.175078,-7.840618
intrados,190.915790,-7.604919
intrados,194.657632,-7.366926
intrados,198.400631,-7.126795
intrados,202.144815,-6.884668
intrados,205.890208,-6.640670
intrados,209.636836,-6.394911
intrados,213.384726,-6.147485
intrados,217.133904,-5.898469
intrados,220.884394,-5.647929
intrados,224.636224,-5.395913
intrados,228.389419,-5.142457
intrados,232.144007,-4.887581
intrados,235.900015,-4.631292
intrados,239.657470,-4.373584
intrados,243.416402,-4.114434
intrados,247.176840,-3.853810
intrados,250.938813,-3.591663
intrados,254.702353,-3.327933
intrados,258.467493,-3.062546
intrados,262.234264,-2.795414
intrados,266.002702,-2.526439
intrados,269.772842,-2.255508
intrados,273.544722,-1.982495
intrados,277.318378,-1.707263
intrados,281.093853,-1.429661
intrados,284.871186,-1.149528
intrados,288.650422,-0.866689
intrados,292.431604,-0.580956
intrados,296.214781,-0.292130
intrados,300.000000,0.000000
